id,agent_id,provider_id,tx_type,amount,counterparty_ref,status,created_at
1,1,2,cash_in,4907.38,CUST40672,completed,2026-07-04 15:44:22.263622
2,1,1,cash_in,7049.17,CUST19407,completed,2026-07-04 17:14:22.263622
3,1,3,transfer,6557.37,CUST23180,completed,2026-07-04 17:51:22.263622
4,1,2,cash_out,7682.9,CUST69626,completed,2026-07-04 18:51:22.263622
5,1,3,transfer,4041.76,CUST34040,completed,2026-07-04 20:15:22.263622
6,1,3,transfer,6285.47,CUST53744,completed,2026-07-04 21:08:22.263622
7,1,1,cash_in,5477.14,CUST95154,completed,2026-07-05 02:30:22.263622
8,1,1,cash_out,5075.53,CUST89456,completed,2026-07-05 04:32:22.263622
9,1,1,transfer,2243.17,CUST70780,completed,2026-07-05 09:01:22.263622
10,1,1,transfer,3105.88,CUST59156,completed,2026-07-05 09:22:22.263622
11,1,3,cash_out,4103.35,CUST74425,completed,2026-07-05 10:39:22.263622
12,1,1,cash_in,4482.11,CUST42936,completed,2026-07-05 11:48:22.263622
13,1,3,transfer,4434.33,CUST69649,completed,2026-07-05 13:17:22.263622
14,1,3,transfer,7034.64,CUST73364,completed,2026-07-05 14:04:22.263622
15,1,3,cash_out,5631.53,CUST68213,completed,2026-07-05 14:33:22.263622
16,1,1,transfer,4215.89,CUST79956,completed,2026-07-05 15:07:22.263622
17,1,2,cash_in,6258.95,CUST27983,completed,2026-07-05 15:29:22.263622
18,1,2,cash_in,5828.31,CUST58412,completed,2026-07-05 16:01:22.263622
19,1,3,cash_out,5946.05,CUST27898,completed,2026-07-05 16:19:22.263622
20,1,2,cash_out,4660.22,CUST97240,completed,2026-07-05 17:09:22.263622
21,1,2,transfer,6468.6,CUST71745,completed,2026-07-05 18:17:22.263622
22,1,3,cash_in,4612.71,CUST94966,completed,2026-07-05 19:06:22.263622
23,1,3,cash_in,5171.3,CUST20578,completed,2026-07-05 20:26:22.263622
24,1,1,cash_out,4603.15,CUST59982,completed,2026-07-05 21:03:22.263622
25,1,3,cash_in,7566.65,CUST47817,completed,2026-07-05 21:22:22.263622
26,1,2,transfer,2183.28,CUST14905,completed,2026-07-05 21:54:22.263622
27,1,3,cash_in,3419.29,CUST22439,completed,2026-07-06 01:13:22.263622
28,1,3,cash_in,6507.59,CUST63971,completed,2026-07-06 03:44:22.263622
29,1,2,transfer,6128.58,CUST70447,completed,2026-07-06 09:49:22.263622
30,1,2,cash_out,3155.63,CUST12428,completed,2026-07-06 11:07:22.263622
31,1,2,cash_out,5533.63,CUST34519,completed,2026-07-06 12:20:22.263622
32,1,1,cash_out,5190.62,CUST53515,completed,2026-07-06 12:47:22.263622
33,1,1,transfer,6885.52,CUST55194,completed,2026-07-06 13:04:22.263622
34,1,2,cash_out,3745.45,CUST85600,completed,2026-07-06 13:32:22.263622
35,1,3,cash_out,3232.54,CUST70502,completed,2026-07-06 14:42:22.263622
36,1,1,cash_in,5647.21,CUST49395,completed,2026-07-06 15:11:22.263622
37,1,2,cash_out,4605.26,CUST79978,completed,2026-07-06 16:40:22.263622
38,1,1,cash_out,7333.07,CUST65113,completed,2026-07-06 17:50:22.263622
39,1,1,transfer,6258.21,CUST47187,completed,2026-07-06 18:46:22.263622
40,1,2,cash_out,6186.28,CUST41467,completed,2026-07-06 19:29:22.263622
41,1,2,cash_out,5787.75,CUST90737,completed,2026-07-06 19:48:22.263622
42,1,2,cash_in,4380.12,CUST78045,completed,2026-07-06 20:20:22.263622
43,1,1,cash_out,3697.88,CUST29339,completed,2026-07-06 21:29:22.263622
44,1,3,cash_out,7235.45,CUST47261,completed,2026-07-06 21:45:22.263622
45,1,3,cash_in,4694.73,CUST89877,completed,2026-07-06 23:10:22.263622
46,1,2,cash_out,6100.56,CUST40378,completed,2026-07-07 02:10:22.263622
47,1,3,transfer,7389.48,CUST10466,completed,2026-07-07 09:49:22.263622
48,1,1,transfer,6508.41,CUST43805,completed,2026-07-07 11:10:22.263622
49,1,3,cash_in,5390.38,CUST26913,completed,2026-07-07 12:17:22.263622
50,1,1,transfer,3286.84,CUST32928,completed,2026-07-07 13:13:22.263622
51,1,2,transfer,3799.31,CUST23258,completed,2026-07-07 13:31:22.263622
52,1,3,transfer,6955.66,CUST62613,completed,2026-07-07 14:20:22.263622
53,1,3,cash_out,3116.3,CUST99751,completed,2026-07-07 14:41:22.263622
54,1,3,transfer,5770.75,CUST38846,completed,2026-07-07 15:47:22.263622
55,1,2,cash_out,5232.19,CUST51047,completed,2026-07-07 16:27:22.263622
56,1,3,cash_in,6279.56,CUST87556,completed,2026-07-07 17:25:22.263622
57,1,2,cash_in,7478.57,CUST79306,completed,2026-07-07 17:57:22.263622
58,1,3,transfer,2034.39,CUST16898,completed,2026-07-07 18:23:22.263622
59,1,2,cash_in,3760.62,CUST92322,completed,2026-07-07 19:51:22.263622
60,1,3,cash_out,3070.51,CUST82027,completed,2026-07-07 20:12:22.263622
61,1,3,cash_in,5791.64,CUST65890,completed,2026-07-07 21:02:22.263622
62,1,3,cash_in,3395.1,CUST38609,completed,2026-07-08 03:50:22.263622
63,1,3,cash_in,6219.83,CUST30813,completed,2026-07-08 08:19:22.263622
64,1,1,transfer,5396.19,CUST77967,completed,2026-07-08 09:17:22.263622
65,1,3,cash_in,4355.47,CUST17373,completed,2026-07-08 10:04:22.263622
66,1,3,cash_in,4881.95,CUST46188,completed,2026-07-08 11:08:22.263622
67,1,3,transfer,7564.27,CUST35797,completed,2026-07-08 11:24:22.263622
68,1,1,transfer,2467.66,CUST12328,completed,2026-07-08 12:03:22.263622
69,1,2,cash_in,6758.57,CUST66271,completed,2026-07-08 13:14:22.263622
70,1,3,cash_in,5910.85,CUST42748,completed,2026-07-08 13:36:22.263622
71,1,2,cash_in,5023.7,CUST17220,completed,2026-07-08 14:25:22.263622
72,1,1,cash_out,5491.01,CUST32919,completed,2026-07-08 14:54:22.263622
73,1,3,cash_out,3545.42,CUST62877,completed,2026-07-08 16:06:22.263622
74,1,3,cash_out,2295.7,CUST79867,completed,2026-07-08 16:57:22.263622
75,1,1,transfer,3925.7,CUST13946,completed,2026-07-08 18:07:22.263622
76,1,3,transfer,4091.18,CUST70287,completed,2026-07-08 18:26:22.263622
77,1,3,cash_out,6580.39,CUST71687,completed,2026-07-08 18:46:22.263622
78,1,1,cash_in,4734.69,CUST10124,completed,2026-07-08 19:15:22.263622
79,1,3,transfer,6103.01,CUST61176,completed,2026-07-08 19:31:22.263622
80,1,3,transfer,2791.34,CUST81387,completed,2026-07-08 20:29:22.263622
81,1,2,cash_out,6596.32,CUST45354,completed,2026-07-08 21:05:22.263622
82,1,3,cash_in,5107.45,CUST93216,completed,2026-07-09 08:02:22.263622
83,1,3,cash_out,5099.37,CUST57046,completed,2026-07-09 09:13:22.263622
84,1,3,cash_out,5381.05,CUST29467,completed,2026-07-09 10:24:22.263622
85,1,3,cash_in,4606.31,CUST65370,completed,2026-07-09 11:18:22.263622
86,1,3,cash_in,3428.99,CUST74322,completed,2026-07-09 11:45:22.263622
87,1,1,transfer,5389.26,CUST18305,completed,2026-07-09 13:04:22.263622
88,1,3,transfer,6932.28,CUST11522,completed,2026-07-09 13:54:22.263622
89,1,1,cash_out,5557.85,CUST25993,completed,2026-07-09 14:12:22.263622
90,1,2,cash_in,6389.33,CUST46781,completed,2026-07-09 15:37:22.263622
91,1,3,cash_in,8098.09,CUST34814,completed,2026-07-09 16:42:22.263622
92,1,1,cash_out,3281.11,CUST57431,completed,2026-07-09 17:30:22.263622
93,1,1,transfer,3638.58,CUST78661,completed,2026-07-09 18:34:22.263622
94,1,3,cash_out,3343.56,CUST36956,completed,2026-07-09 19:39:22.263622
95,1,3,cash_out,6371.66,CUST78549,completed,2026-07-09 19:59:22.263622
96,1,2,cash_in,5971.09,CUST77847,completed,2026-07-09 21:19:22.263622
97,1,2,cash_in,5682.84,CUST91178,completed,2026-07-09 21:55:22.263622
98,1,1,cash_out,4710.29,CUST68981,completed,2026-07-09 22:51:22.263622
99,1,3,transfer,4152.39,CUST73544,completed,2026-07-10 00:06:22.263622
100,1,2,transfer,5778.41,CUST60879,completed,2026-07-10 03:31:22.263622
101,1,1,cash_out,7072.96,CUST78867,completed,2026-07-10 10:05:22.263622
102,1,2,cash_in,5822.98,CUST78460,completed,2026-07-10 11:21:22.263622
103,1,3,cash_in,4852.7,CUST46813,completed,2026-07-10 12:21:22.263622
104,1,1,cash_in,5912.14,CUST82094,completed,2026-07-10 12:48:22.263622
105,1,3,transfer,4711.57,CUST89868,completed,2026-07-10 13:06:22.263622
106,1,1,transfer,1689.62,CUST51138,completed,2026-07-10 14:07:22.263622
107,1,3,cash_out,5424.82,CUST81929,completed,2026-07-10 14:45:22.263622
108,1,1,transfer,4635.86,CUST73592,completed,2026-07-10 16:08:22.263622
109,1,1,cash_in,4518.39,CUST28525,completed,2026-07-10 17:01:22.263622
110,1,1,cash_out,4847.37,CUST39166,completed,2026-07-10 17:29:22.263622
111,1,2,cash_in,4137.01,CUST59695,completed,2026-07-10 17:56:22.263622
112,1,3,transfer,4182.92,CUST87607,completed,2026-07-10 18:15:22.263622
113,1,2,transfer,5167.18,CUST96016,completed,2026-07-10 18:47:22.263622
114,1,1,cash_out,4915.73,CUST12895,completed,2026-07-10 19:22:22.263622
115,1,3,cash_out,2138.4,CUST51009,completed,2026-07-10 19:50:22.263622
116,1,2,cash_in,6388.83,CUST59912,completed,2026-07-10 20:30:22.263622
117,1,2,transfer,5821.28,CUST87000,completed,2026-07-10 21:13:22.263622
118,1,2,transfer,4244.47,CUST72149,completed,2026-07-10 21:32:22.263622
119,1,1,cash_out,3589.2,CUST38729,completed,2026-07-10 22:23:22.263622
120,1,2,transfer,4075.23,CUST24587,completed,2026-07-11 05:57:22.263622
121,1,2,cash_in,6627.5,CUST87993,completed,2026-07-11 09:23:22.263622
122,1,3,transfer,4944.5,CUST64395,completed,2026-07-11 10:42:22.263622
123,2,3,transfer,6018.3,CUST30462,completed,2026-07-04 14:53:22.263622
124,2,3,cash_out,4560.16,CUST22331,completed,2026-07-04 15:17:22.263622
125,2,3,cash_out,6913.83,CUST50496,completed,2026-07-04 16:06:22.263622
126,2,2,cash_in,3974.64,CUST58403,completed,2026-07-04 17:15:22.263622
127,2,2,transfer,5659.95,CUST44986,completed,2026-07-04 17:37:22.263622
128,2,3,cash_in,6647.47,CUST51869,completed,2026-07-04 18:21:22.263622
129,2,1,transfer,5456.58,CUST95610,completed,2026-07-04 18:55:22.263622
130,2,3,transfer,4140.01,CUST87721,completed,2026-07-04 19:26:22.263622
131,2,3,cash_out,2821.04,CUST77291,completed,2026-07-04 19:49:22.263622
132,2,3,cash_out,1002.21,CUST16490,completed,2026-07-04 20:25:22.263622
133,2,3,cash_in,2903.04,CUST97081,completed,2026-07-04 21:16:22.263622
134,2,3,transfer,6019.17,CUST31847,completed,2026-07-04 22:36:22.263622
135,2,3,cash_in,4641.62,CUST57895,completed,2026-07-05 02:31:22.263622
136,2,2,cash_in,4291.71,CUST52408,completed,2026-07-05 09:11:22.263622
137,2,2,transfer,4899.05,CUST55970,completed,2026-07-05 10:27:22.263622
138,2,1,transfer,4444.87,CUST77030,completed,2026-07-05 11:06:22.263622
139,2,3,cash_out,4374.77,CUST57208,completed,2026-07-05 12:19:22.263622
140,2,2,cash_out,6015.64,CUST61105,completed,2026-07-05 13:36:22.263622
141,2,1,transfer,4075.66,CUST77692,completed,2026-07-05 14:41:22.263622
142,2,3,transfer,4135.69,CUST76188,completed,2026-07-05 15:31:22.263622
143,2,1,cash_in,3198.68,CUST64853,completed,2026-07-05 15:49:22.263622
144,2,3,cash_in,7432.92,CUST13758,completed,2026-07-05 16:50:22.263622
145,2,3,transfer,4266.23,CUST44228,completed,2026-07-05 17:09:22.263622
146,2,1,cash_out,6050.99,CUST16001,completed,2026-07-05 18:10:22.263622
147,2,1,cash_out,2330.88,CUST20062,completed,2026-07-05 18:35:22.263622
148,2,3,cash_in,5481.99,CUST27595,completed,2026-07-05 19:40:22.263622
149,2,1,cash_in,2913.93,CUST48461,completed,2026-07-05 21:10:22.263622
150,2,3,transfer,3997.85,CUST48256,completed,2026-07-06 01:31:22.263622
151,2,3,cash_in,6345.16,CUST97216,completed,2026-07-06 02:52:22.263622
152,2,3,transfer,5743.8,CUST15308,completed,2026-07-06 03:26:22.263622
153,2,2,transfer,6447.75,CUST58514,completed,2026-07-06 06:12:22.263622
154,2,3,cash_in,7276.58,CUST75780,completed,2026-07-06 07:41:22.263622
155,2,2,cash_in,7373.17,CUST39348,completed,2026-07-06 09:19:22.263622
156,2,3,cash_in,5052.64,CUST88220,completed,2026-07-06 10:26:22.263622
157,2,3,cash_in,3202.97,CUST54072,completed,2026-07-06 11:29:22.263622
158,2,1,cash_out,5303.25,CUST57204,completed,2026-07-06 11:44:22.263622
159,2,3,cash_in,6492.29,CUST94245,completed,2026-07-06 12:06:22.263622
160,2,3,transfer,3341.94,CUST63926,completed,2026-07-06 13:10:22.263622
161,2,3,cash_in,3967.93,CUST64269,completed,2026-07-06 13:28:22.263622
162,2,3,cash_out,7690.14,CUST34665,completed,2026-07-06 14:12:22.263622
163,2,2,cash_out,5394.82,CUST45709,completed,2026-07-06 15:32:22.263622
164,2,2,transfer,3484.75,CUST63237,completed,2026-07-06 16:16:22.263622
165,2,3,cash_out,3194.32,CUST47312,completed,2026-07-06 16:31:22.263622
166,2,2,cash_in,4190.36,CUST64995,completed,2026-07-06 17:11:22.263622
167,2,3,transfer,4274.72,CUST44292,completed,2026-07-06 18:00:22.263622
168,2,1,cash_out,4825.1,CUST82724,completed,2026-07-06 19:25:22.263622
169,2,3,cash_out,5779.16,CUST32937,completed,2026-07-06 20:44:22.263622
170,2,3,cash_in,5092.09,CUST54673,completed,2026-07-06 21:46:22.263622
171,2,1,cash_in,6780.34,CUST62248,completed,2026-07-06 23:00:22.263622
172,2,3,cash_out,5411.5,CUST58935,completed,2026-07-07 01:47:22.263622
173,2,2,cash_in,7489.59,CUST17784,completed,2026-07-07 03:16:22.263622
174,2,2,cash_out,3094.26,CUST57530,completed,2026-07-07 05:06:22.263622
175,2,1,transfer,4533.89,CUST44992,completed,2026-07-07 06:23:22.263622
176,2,2,transfer,6915.84,CUST36754,completed,2026-07-07 10:06:22.263622
177,2,3,transfer,4862.33,CUST63667,completed,2026-07-07 11:11:22.263622
178,2,2,cash_in,5326.85,CUST22670,completed,2026-07-07 11:51:22.263622
179,2,1,transfer,4414.63,CUST62423,completed,2026-07-07 12:33:22.263622
180,2,2,transfer,4153.77,CUST62448,completed,2026-07-07 13:18:22.263622
181,2,1,transfer,4690.11,CUST70426,completed,2026-07-07 14:03:22.263622
182,2,3,cash_out,5686.19,CUST14049,completed,2026-07-07 15:04:22.263622
183,2,1,transfer,5357.25,CUST75423,completed,2026-07-07 16:16:22.263622
184,2,2,cash_in,3137.21,CUST51777,completed,2026-07-07 17:18:22.263622
185,2,1,cash_in,3788.96,CUST49904,completed,2026-07-07 17:40:22.263622
186,2,3,cash_in,4274.03,CUST81452,completed,2026-07-07 19:06:22.263622
187,2,2,transfer,1075.06,CUST29008,completed,2026-07-07 19:22:22.263622
188,2,1,cash_out,7025.3,CUST59827,completed,2026-07-07 20:10:22.263622
189,2,2,transfer,5229.53,CUST72454,completed,2026-07-07 20:37:22.263622
190,2,3,cash_out,6742.47,CUST16553,completed,2026-07-07 21:37:22.263622
191,2,2,cash_in,3992.54,CUST23688,completed,2026-07-07 23:27:22.263622
192,2,2,transfer,7523.62,CUST42966,completed,2026-07-08 04:53:22.263622
193,2,3,cash_out,5769.37,CUST78142,completed,2026-07-08 05:19:22.263622
194,2,3,cash_in,4594.67,CUST60494,completed,2026-07-08 06:20:22.263622
195,2,1,transfer,5845.54,CUST18503,completed,2026-07-08 07:30:22.263622
196,2,1,cash_out,4920.47,CUST45201,completed,2026-07-08 10:26:22.263622
197,2,2,cash_in,2293.53,CUST83084,completed,2026-07-08 11:45:22.263622
198,2,2,cash_in,4158.99,CUST75450,completed,2026-07-08 12:55:22.263622
199,2,1,transfer,4660.02,CUST46957,completed,2026-07-08 13:29:22.263622
200,2,3,cash_in,4233.45,CUST65643,completed,2026-07-08 14:51:22.263622
201,2,1,cash_in,5629.67,CUST60159,completed,2026-07-08 16:05:22.263622
202,2,1,transfer,6518.57,CUST73116,completed,2026-07-08 16:48:22.263622
203,2,2,transfer,6097.16,CUST71093,completed,2026-07-08 17:40:22.263622
204,2,2,cash_out,5730.65,CUST41321,completed,2026-07-08 18:39:22.263622
205,2,2,transfer,5852.84,CUST97495,completed,2026-07-08 20:03:22.263622
206,2,3,cash_out,1888.46,CUST71112,completed,2026-07-08 21:26:22.263622
207,2,3,transfer,5601.26,CUST77179,completed,2026-07-09 05:38:22.263622
208,2,2,transfer,6343.92,CUST20864,completed,2026-07-09 09:00:22.263622
209,2,2,cash_out,5582.33,CUST30422,completed,2026-07-09 09:54:22.263622
210,2,3,transfer,4560.44,CUST96856,completed,2026-07-09 10:50:22.263622
211,2,2,cash_out,5607.45,CUST43477,completed,2026-07-09 11:33:22.263622
212,2,1,cash_out,5443.62,CUST50346,completed,2026-07-09 12:46:22.263622
